url;title;awards;RelDate
https://www.metacritic.com/movie/!women-art-revolution;!Women Art Revolution;;01.06.2011
https://www.metacritic.com/movie/10-cloverfield-lane;10 Cloverfield Lane;#18MostDiscussedMovieof2016 , #1MostSharedMovieof2016;11.03.2016
https://www.metacritic.com/movie/10-items-or-less;10 Items or Less;;01.12.2006
https://www.metacritic.com/movie/10-years;10 Years;;14.09.2012
https://www.metacritic.com/movie/100-bloody-acres;100 Bloody Acres;;28.06.2013
https://www.metacritic.com/movie/100-streets;100 Streets;;13.01.2017
https://www.metacritic.com/movie/1000-times-good-night;1,000 Times Good Night;;24.10.2014
https://www.metacritic.com/movie/10000-bc;10,000 BC;#23MostDiscussedMovieof2008 , #27MostSharedMovieof2008;07.03.2008
https://www.metacritic.com/movie/10000-km;10,000 km;;10.07.2015
https://www.metacritic.com/movie/1001-grams;1001 Grams;;08.05.2015
https://www.metacritic.com/movie/101-reykjavik;ReykjavÃ­k;;25.07.2001
https://www.metacritic.com/movie/102-dalmatians;102 Dalmatians;#73MostDiscussedMovieof2000;22.11.2000
https://www.metacritic.com/movie/10th-wolf;10th & Wolf;;18.08.2006
https://www.metacritic.com/movie/11-flowers;11 Flowers;;22.02.2013
https://www.metacritic.com/movie/11-minutes;11 Minutes;;08.04.2016
https://www.metacritic.com/movie/11816;11/8/16;;03.11.2017
https://www.metacritic.com/movie/12;12;#97BestMovieof2009 , #18MostSharedMovieof2009;04.03.2009
https://www.metacritic.com/movie/12-12-12;12-12-12;;15.11.2013
https://www.metacritic.com/movie/12-hour-shift;12 Hour Shift;;02.10.2020
https://www.metacritic.com/movie/12-mighty-orphans;12 Mighty Orphans;;11.06.2021
https://www.metacritic.com/movie/12-oclock-boys;12 O'Clock Boys;;31.01.2014
https://www.metacritic.com/movie/12-rounds;12 Rounds;#71MostSharedMovieof2009;27.03.2009
https://www.metacritic.com/movie/12-strong;12 Strong;#77MostDiscussedMovieof2018 , #21MostSharedMovieof2018;19.01.2018
https://www.metacritic.com/movie/12-years-a-slave;12 Years a Slave;#1BestMovieof2013 , #17MostDiscussedMovieof2013 , #23MostSharedMovieof2013;18.10.2013
https://www.metacritic.com/movie/1208-east-of-bucharest;12:08 East of Bucharest;#51BestMovieof2007;06.06.2007
https://www.metacritic.com/movie/127-hours;127 Hours;#23BestMovieof2010 , #26MostDiscussedMovieof2010 , #45MostSharedMovieof2010;05.11.2010
https://www.metacritic.com/movie/13;13;#61MostSharedMovieof2011;28.10.2011
https://www.metacritic.com/movie/13-assassins;13 Assassins;#23BestMovieof2011 , #35MostSharedMovieof2011;29.04.2011
https://www.metacritic.com/movie/13-going-on-30;13 Going on 30;#72MostDiscussedMovieof2004 , #51MostSharedMovieof2004;23.04.2004
https://www.metacritic.com/movie/13-hours-the-secret-soldiers-of-benghazi;13 Hours: The Secret Soldiers of Benghazi;#51MostDiscussedMovieof2016 , #44MostSharedMovieof2016;15.01.2016
https://www.metacritic.com/movie/13-minutes;13 Minutes;;30.06.2017
https://www.metacritic.com/movie/13-sins;13 Sins;;18.04.2014
https://www.metacritic.com/movie/13-tzameti;13 Tzameti;;28.07.2006
https://www.metacritic.com/movie/13th;13th;#37BestMovieof2016;07.10.2016
https://www.metacritic.com/movie/14-blades;14 Blades;;22.08.2014
https://www.metacritic.com/movie/1408;1408;#46MostDiscussedMovieof2007 , #32MostSharedMovieof2007;22.06.2007
https://www.metacritic.com/movie/15-minutes;15 Minutes;;09.03.2001
https://www.metacritic.com/movie/16-blocks;16 Blocks;#84MostDiscussedMovieof2006;03.03.2006
https://www.metacritic.com/movie/16-years-of-alcohol;16 Years of Alcohol;;18.03.2005
https://www.metacritic.com/movie/17-again;17 Again;#87MostDiscussedMovieof2009 , #61MostSharedMovieof2009;17.04.2009
https://www.metacritic.com/movie/17-blocks;17 Blocks;#61BestMovieof2019;01.11.2019
https://www.metacritic.com/movie/17-girls;17 Girls;#38MostSharedMovieof2012;21.09.2012
https://www.metacritic.com/movie/1911;1911;;07.10.2011
https://www.metacritic.com/movie/1917;1917;#18MostDiscussedMovieof2019;25.12.2019
https://www.metacritic.com/movie/1922;1922;;20.10.2017
https://www.metacritic.com/movie/1945;1945;;01.11.2017
https://www.metacritic.com/movie/1971;1971;;06.02.2015
https://www.metacritic.com/movie/1985;1985;;26.10.2018
https://www.metacritic.com/movie/1br;1BR;;24.04.2020
https://www.metacritic.com/movie/2-autumns-3-winters;2 Autumns, 3 Winters;;06.06.2014
https://www.metacritic.com/movie/2-days-in-new-york;2 Days in New York;;10.08.2012
https://www.metacritic.com/movie/2-days-in-paris;2 Days in Paris;;10.08.2007
https://www.metacritic.com/movie/2-fast-2-furious;2 Fast 2 Furious;#14MostDiscussedMovieof2003 , #41MostSharedMovieof2003;06.06.2003
https://www.metacritic.com/movie/2-guns;2 Guns;#87MostDiscussedMovieof2013 , #70MostSharedMovieof2013;02.08.2013
https://www.metacritic.com/movie/2-jacks;2 Jacks;;18.10.2013
https://www.metacritic.com/movie/2-or-3-things-i-know-about-him;2 or 3 Things I Know About Him;#78BestMovieof2007;24.01.2007
https://www.metacritic.com/movie/20-centimeters;20 Centimeters;;27.10.2006
https://www.metacritic.com/movie/20-feet-from-stardom;20 Feet from Stardom;#25BestMovieof2013;14.06.2013
https://www.metacritic.com/movie/20000-days-on-earth;20,000 Days on Earth;#37BestMovieof2014;17.09.2014
https://www.metacritic.com/movie/2012;2012;#13MostDiscussedMovieof2009 , #4MostSharedMovieof2009;13.11.2009
https://www.metacritic.com/movie/2016-obamas-america;2016: Obama's America;;13.07.2012
https://www.metacritic.com/movie/2046;2046;#53BestMovieof2005;05.08.2005
https://www.metacritic.com/movie/2067;2067;;02.10.2020
https://www.metacritic.com/movie/20th-century-women;20th Century Women;#35BestMovieof2016;28.12.2016
https://www.metacritic.com/movie/21;21;#66MostDiscussedMovieof2008 , #10MostSharedMovieof2008;28.03.2008
https://www.metacritic.com/movie/21-and-over;21 and Over;;01.03.2013
https://www.metacritic.com/movie/21-bridges;21 Bridges;;22.11.2019
https://www.metacritic.com/movie/21-grams;21 Grams;#98BestMovieof2003 , #51MostDiscussedMovieof2003 , #43MostSharedMovieof2003;21.11.2003
https://www.metacritic.com/movie/21-jump-street;21 Jump Street;#22MostDiscussedMovieof2012 , #62MostSharedMovieof2012;16.03.2012
https://www.metacritic.com/movie/21-years-richard-linklater;21 Years: Richard Linklater;;07.11.2014
https://www.metacritic.com/movie/211;211;;08.06.2018
https://www.metacritic.com/movie/22-july;22 July;;10.10.2018
https://www.metacritic.com/movie/22-jump-street;22 Jump Street;#38MostDiscussedMovieof2014 , #54MostSharedMovieof2014;13.06.2014
https://www.metacritic.com/movie/23-blast;23 Blast;;24.10.2014
https://www.metacritic.com/movie/24-city;24 City;#70BestMovieof2009;05.06.2009
https://www.metacritic.com/movie/24-days;24 Days;;24.04.2015
https://www.metacritic.com/movie/24-exposures;24 Exposures;;24.01.2014
https://www.metacritic.com/movie/24-frames;24 Frames;;02.02.2018
https://www.metacritic.com/movie/24-hour-party-people;24 Hour Party People;#13BestMovieof2002 , #96MostDiscussedMovieof2002 , #100MostSharedMovieof2002;09.08.2002
https://www.metacritic.com/movie/24-hours-on-craigslist;24 Hours on Craigslist;;19.01.2006
https://www.metacritic.com/movie/25th-hour;25th Hour;#53MostDiscussedMovieof2002 , #52MostSharedMovieof2002;19.12.2002
https://www.metacritic.com/movie/27-dresses;27 Dresses;#94MostDiscussedMovieof2008 , #43MostSharedMovieof2008;18.01.2008
https://www.metacritic.com/movie/28-days;28 Days;;14.04.2000
https://www.metacritic.com/movie/28-days-later;28 Days Later...;#64BestMovieof2003 , #7MostDiscussedMovieof2003 , #40MostSharedMovieof2003;27.06.2003
https://www.metacritic.com/movie/28-hotel-rooms;28 Hotel Rooms;;09.11.2012
https://www.metacritic.com/movie/28-weeks-later;28 Weeks Later;#41BestMovieof2007 , #18MostDiscussedMovieof2007 , #36MostSharedMovieof2007;11.05.2007
https://www.metacritic.com/movie/3;3;;16.09.2011
https://www.metacritic.com/movie/3-12-minutes-10-bullets;3 1/2 Minutes, 10 Bullets;;19.06.2015
https://www.metacritic.com/movie/3-2-1-frankie-go-boom;3, 2, 1... Frankie Go Boom;;12.10.2012
https://www.metacritic.com/movie/3-backyards;3 Backyards;;11.03.2011
https://www.metacritic.com/movie/3-d-sex-and-zen-extreme-ecstasy;3-D Sex and Zen: Extreme Ecstasy;#9MostSharedMovieof2011;12.08.2011
https://www.metacritic.com/movie/3-dancing-slaves;3 Dancing Slaves;;02.09.2005
https://www.metacritic.com/movie/3-days-to-kill;3 Days to Kill;;21.02.2014
https://www.metacritic.com/movie/3-faces;3 Faces;#94BestMovieof2019;08.03.2019
https://www.metacritic.com/movie/3-generations;3 Generations;;05.05.2017
https://www.metacritic.com/movie/3-hearts;3 Hearts;;13.03.2015
https://www.metacritic.com/movie/3-iron;3-Iron;#90BestMovieof2005;29.04.2005
https://www.metacritic.com/movie/3-needles;3 Needles;;01.12.2006
https://www.metacritic.com/movie/3-strikes;3 Strikes;;01.03.2000
https://www.metacritic.com/movie/30-beats;30 Beats;;20.07.2012
https://www.metacritic.com/movie/30-days-of-night;30 Days of Night;#49MostDiscussedMovieof2007 , #35MostSharedMovieof2007;19.10.2007
https://www.metacritic.com/movie/30-minutes-or-less;30 Minutes or Less;#79MostDiscussedMovieof2011;12.08.2011
https://www.metacritic.com/movie/300;300;#5MostDiscussedMovieof2007 , #1MostSharedMovieof2007;09.03.2007
https://www.metacritic.com/movie/300-rise-of-an-empire;300: Rise of an Empire;#35MostDiscussedMovieof2014 , #52MostSharedMovieof2014;07.03.2014
https://www.metacritic.com/movie/3000-miles-to-graceland;3000 Miles to Graceland;#93MostDiscussedMovieof2001;23.02.2001
https://www.metacritic.com/movie/306-hollywood;306 Hollywood;;28.09.2018
https://www.metacritic.com/movie/31;31;;21.10.2016
https://www.metacritic.com/movie/310-to-yuma;3:10 to Yuma;#56BestMovieof2007 , #27MostDiscussedMovieof2007 , #85MostSharedMovieof2007;07.09.2007
https://www.metacritic.com/movie/33-postcards;33 Postcards;;17.05.2013
https://www.metacritic.com/movie/35-shots-of-rum;35 Shots of Rum;#3BestMovieof2009 , #86MostSharedMovieof2009;16.09.2009
https://www.metacritic.com/movie/360;360;;03.08.2012
https://www.metacritic.com/movie/39-pounds-of-love;39 Pounds of Love;;23.11.2005
https://www.metacritic.com/movie/4;4;#96BestMovieof2006;07.04.2006
https://www.metacritic.com/movie/4-days-in-france;4 Days in France;;04.08.2017
https://www.metacritic.com/movie/4-months-3-weeks-and-2-days;4 Months, 3 Weeks and 2 Days;#1BestMovieof2008 , #52MostDiscussedMovieof2008 , #16MostSharedMovieof2008;23.01.2008
https://www.metacritic.com/movie/40-days-and-40-nights;40 Days and 40 Nights;;01.03.2002
https://www.metacritic.com/movie/40-years-in-the-making-the-magic-music-movie;40 Years in the Making: The Magic Music Movie;;03.08.2018
https://www.metacritic.com/movie/42;42;#79MostDiscussedMovieof2013 , #71MostSharedMovieof2013;12.04.2013
https://www.metacritic.com/movie/44-inch-chest;44 Inch Chest;;15.01.2010
https://www.metacritic.com/movie/444-last-day-on-earth;4:44 Last Day on Earth;#98MostSharedMovieof2012;23.03.2012
https://www.metacritic.com/movie/45-years;45 Years;#2BestMovieof2015 , #40MostSharedMovieof2015;23.12.2015
https://www.metacritic.com/movie/45365;45365;#9BestMovieof2010;18.06.2010
https://www.metacritic.com/movie/47-meters-down;47 Meters Down;#89MostDiscussedMovieof2017;16.06.2017
https://www.metacritic.com/movie/47-meters-down-uncaged;47 Meters Down: Uncaged;;16.08.2019
https://www.metacritic.com/movie/47-ronin;47 Ronin;#43MostDiscussedMovieof2013 , #62MostSharedMovieof2013;25.12.2013
https://www.metacritic.com/movie/49-up;49 Up;#20BestMovieof2006;06.10.2006
https://www.metacritic.com/movie/4th-man-out;4th Man Out;;05.02.2016
https://www.metacritic.com/movie/5-broken-cameras;5 Broken Cameras;#54BestMovieof2012;25.05.2012
https://www.metacritic.com/movie/5-days-of-war;5 Days of War;;19.08.2011
https://www.metacritic.com/movie/5-flights-up;5 Flights Up;;08.05.2015
https://www.metacritic.com/movie/5-star-day;5 Star Day;;04.11.2011
https://www.metacritic.com/movie/5-to-7;5 to 7;;03.04.2015
https://www.metacritic.com/movie/50-first-dates;50 First Dates;#48MostDiscussedMovieof2004 , #27MostSharedMovieof2004;13.02.2004
https://www.metacritic.com/movie/500-days-of-summer;(500) Days of Summer;#67BestMovieof2009 , #15MostDiscussedMovieof2009 , #24MostSharedMovieof2009;17.07.2009
https://www.metacritic.com/movie/5050;50/50;#47MostDiscussedMovieof2011 , #52MostSharedMovieof2011;30.09.2011
https://www.metacritic.com/movie/51-birch-street;51 Birch Street;#46BestMovieof2006;18.10.2006
https://www.metacritic.com/movie/52-tuesdays;52 Tuesdays;;27.03.2015
https://www.metacritic.com/movie/56-up;56 Up;#28BestMovieof2013;04.01.2013
https://www.metacritic.com/movie/5x2;5x2;;10.06.2005
https://www.metacritic.com/movie/6-balloons;6 Balloons;;06.04.2018
https://www.metacritic.com/movie/6-days;6 Days;;18.08.2017
https://www.metacritic.com/movie/6-month-rule;6 Month Rule;;01.06.2012
https://www.metacritic.com/movie/6-souls;6 Souls;;05.04.2013
https://www.metacritic.com/movie/6-underground;6 Underground;#41MostDiscussedMovieof2019;11.12.2019
https://www.metacritic.com/movie/63-up;63 Up;#9BestMovieof2019;27.11.2019
https://www.metacritic.com/movie/69-the-saga-of-danny-hernandez;69: The Saga of Danny Hernandez;;16.11.2020
https://www.metacritic.com/movie/6ixtynin9;6ixtynin9;;20.05.2005
https://www.metacritic.com/movie/7-boxes;7 Boxes;;07.02.2014
https://www.metacritic.com/movie/7-chinese-brothers;7 Chinese Brothers;;28.08.2015
https://www.metacritic.com/movie/7-days-in-entebbe;7 Days in Entebbe;;16.03.2018
https://www.metacritic.com/movie/7-days-in-september;7 Days in September;#64BestMovieof2002;06.09.2002
https://www.metacritic.com/movie/7-minutes;7 Minutes;;26.06.2015
https://www.metacritic.com/movie/7-prisoners;7 Prisoners;#87BestMovieof2021;05.11.2021
https://www.metacritic.com/movie/71;'71;#35BestMovieof2015;27.02.2015
https://www.metacritic.com/movie/71-fragments-of-a-chronology-of-chance;71 Fragments of a Chronology of Chance;;26.10.2005
https://www.metacritic.com/movie/7500-2020;7500;;18.06.2020
https://www.metacritic.com/movie/76-days;76 Days;#28BestMovieof2020;04.12.2020
https://www.metacritic.com/movie/7852-hitchcocks-shower-scene;78/52: Hitchcockâs Shower Scene;;13.10.2017
https://www.metacritic.com/movie/8-mile;8 Mile;#44BestMovieof2002 , #11MostDiscussedMovieof2002 , #4MostSharedMovieof2002;08.11.2002
https://www.metacritic.com/movie/8-the-mormon-proposition;8: The Mormon Proposition;;18.06.2010
https://www.metacritic.com/movie/8-women;8 Women;;20.09.2002
https://www.metacritic.com/movie/8-women-2000;8 Â½ Women;#100MostSharedMovieof2000;26.05.2000
https://www.metacritic.com/movie/800-bullets;800 Bullets;;29.10.2004
https://www.metacritic.com/movie/88-minutes;88 Minutes;#29MostSharedMovieof2008;18.04.2008
https://www.metacritic.com/movie/9;9;#40MostDiscussedMovieof2009 , #1MostSharedMovieof2009;09.09.2009
https://www.metacritic.com/movie/9-dead-gay-guys;9 Dead Gay Guys;;17.10.2003
https://www.metacritic.com/movie/9-songs;9 Songs;#9MostSharedMovieof2005;22.07.2005
https://www.metacritic.com/movie/90-minutes-in-heaven;90 Minutes in Heaven;;11.09.2015
https://www.metacritic.com/movie/95-miles-to-go;95 Miles to Go;;07.04.2006
https://www.metacritic.com/movie/96-minutes;96 Minutes;;27.04.2012
https://www.metacritic.com/movie/99-homes;99 Homes;#100MostSharedMovieof2015;25.09.2015
https://www.metacritic.com/movie/99-the-occupy-wall-street-collaborative-film;99%: The Occupy Wall Street Collaborative Film;;06.09.2013
https://www.metacritic.com/movie/999;$9.99;;19.06.2009
https://www.metacritic.com/movie/a-bad-moms-christmas;A Bad Moms Christmas;;01.11.2017
https://www.metacritic.com/movie/a-bag-of-hammers;A Bag of Hammers;;11.05.2012
https://www.metacritic.com/movie/a-bag-of-marbles;A Bag of Marbles;;23.03.2018
https://www.metacritic.com/movie/a-band-called-death;A Band Called Death;#72BestMovieof2013;28.06.2013
https://www.metacritic.com/movie/a-beautiful-day-in-the-neighborhood;A Beautiful Day in the Neighborhood;#76BestMovieof2019 , #73MostDiscussedMovieof2019;22.11.2019
https://www.metacritic.com/movie/a-beautiful-life;A Beautiful Life;;02.10.2009
https://www.metacritic.com/movie/a-beautiful-mind;A Beautiful Mind;#81BestMovieof2001 , #15MostDiscussedMovieof2001 , #16MostSharedMovieof2001;21.12.2001
https://www.metacritic.com/movie/a-better-life;A Better Life;;24.06.2011
https://www.metacritic.com/movie/a-bigger-splash;A Bigger Splash;;04.05.2016
https://www.metacritic.com/movie/a-birders-guide-to-everything;A Birder's Guide to Everything;;21.03.2014
https://www.metacritic.com/movie/a-borrowed-identity;A Borrowed Identity;;26.06.2015
https://www.metacritic.com/movie/a-bottle-in-the-gaza-sea-une-bouteille-s-la-mer;A Bottle in the Gaza Sea (Une bouteille Ã  la mer);;04.01.2013
https://www.metacritic.com/movie/a-boy-called-christmas;A Boy Called Christmas;;24.11.2021
https://www.metacritic.com/movie/a-brave-heart-the-lizzie-velasquez-story;A Brave Heart: The Lizzie Velasquez Story;;25.09.2015
https://www.metacritic.com/movie/a-bread-factory-part-one-for-the-sake-of-gold;A Bread Factory Part One: For the Sake of Gold;#8BestMovieof2018;26.10.2018
