,movie_title,award_name
0,10 Cloverfield Lane-2016-03-11,#18MostDiscussedMovieof2016 
1,10 Cloverfield Lane-2016-03-11, #1MostSharedMovieof2016
2,102 Dalmatians-2000-11-22,#73MostDiscussedMovieof2000
3,12-2009-03-04,#97BestMovieof2009 
4,12-2009-03-04, #18MostSharedMovieof2009
5,12 Rounds-2009-03-27,#71MostSharedMovieof2009
6,12 Strong-2018-01-19,#77MostDiscussedMovieof2018 
7,12 Strong-2018-01-19, #21MostSharedMovieof2018
8,12 Years a Slave-2013-10-18,#1BestMovieof2013 
9,12 Years a Slave-2013-10-18, #17MostDiscussedMovieof2013 
10,12 Years a Slave-2013-10-18, #23MostSharedMovieof2013
11,127 Hours-2010-11-05,#23BestMovieof2010 
12,127 Hours-2010-11-05, #26MostDiscussedMovieof2010 
13,127 Hours-2010-11-05, #45MostSharedMovieof2010
14,13-2011-10-28,#61MostSharedMovieof2011
15,13 Hours: The Secret Soldiers of Benghazi-2016-01-15,#51MostDiscussedMovieof2016 
16,13 Hours: The Secret Soldiers of Benghazi-2016-01-15, #44MostSharedMovieof2016
17,13th-2016-10-07,#37BestMovieof2016
18,1408-2007-06-22,#46MostDiscussedMovieof2007 
19,1408-2007-06-22, #32MostSharedMovieof2007
20,16 Blocks-2006-03-03,#84MostDiscussedMovieof2006
21,17 Again-2009-04-17,#87MostDiscussedMovieof2009 
22,17 Again-2009-04-17, #61MostSharedMovieof2009
23,1917-2019-12-25,#18MostDiscussedMovieof2019
24,2 Fast 2 Furious-2003-06-06,#14MostDiscussedMovieof2003 
25,2 Fast 2 Furious-2003-06-06, #41MostSharedMovieof2003
26,"20,000 Days on Earth-2014-09-17",#37BestMovieof2014
27,2012-2009-11-13,#13MostDiscussedMovieof2009 
28,2012-2009-11-13, #4MostSharedMovieof2009
29,21 Grams-2003-11-21,#98BestMovieof2003 
30,21 Grams-2003-11-21, #51MostDiscussedMovieof2003 
31,21 Grams-2003-11-21, #43MostSharedMovieof2003
32,21 Jump Street-2012-03-16,#22MostDiscussedMovieof2012 
33,21 Jump Street-2012-03-16, #62MostSharedMovieof2012
34,22 Jump Street-2014-06-13,#38MostDiscussedMovieof2014 
35,22 Jump Street-2014-06-13, #54MostSharedMovieof2014
36,24 City-2009-06-05,#70BestMovieof2009
37,25th Hour-2002-12-19,#53MostDiscussedMovieof2002 
38,25th Hour-2002-12-19, #52MostSharedMovieof2002
39,28 Weeks Later-2007-05-11,#41BestMovieof2007 
40,28 Weeks Later-2007-05-11, #18MostDiscussedMovieof2007 
41,28 Weeks Later-2007-05-11, #36MostSharedMovieof2007
42,30 Days of Night-2007-10-19,#49MostDiscussedMovieof2007 
43,30 Days of Night-2007-10-19, #35MostSharedMovieof2007
44,300-2007-03-09,#5MostDiscussedMovieof2007 
45,300-2007-03-09, #1MostSharedMovieof2007
46,300: Rise of an Empire-2014-03-07,#35MostDiscussedMovieof2014 
47,300: Rise of an Empire-2014-03-07, #52MostSharedMovieof2014
48,3000 Miles to Graceland-2001-02-23,#93MostDiscussedMovieof2001
49,4-2006-04-07,#96BestMovieof2006
50,42-2013-04-12,#79MostDiscussedMovieof2013 
51,42-2013-04-12, #71MostSharedMovieof2013
52,4:44 Last Day on Earth-2012-03-23,#98MostSharedMovieof2012
53,45 Years-2015-12-23,#2BestMovieof2015 
54,45 Years-2015-12-23, #40MostSharedMovieof2015
55,47 Meters Down-2017-06-16,#89MostDiscussedMovieof2017
56,47 Ronin-2013-12-25,#43MostDiscussedMovieof2013 
57,47 Ronin-2013-12-25, #62MostSharedMovieof2013
58,49 Up-2006-10-06,#20BestMovieof2006
59,50 First Dates-2004-02-13,#48MostDiscussedMovieof2004 
60,50 First Dates-2004-02-13, #27MostSharedMovieof2004
61,50/50-2011-09-30,#47MostDiscussedMovieof2011 
62,50/50-2011-09-30, #52MostSharedMovieof2011
63,51 Birch Street-2006-10-18,#46BestMovieof2006
64,56 Up-2013-01-04,#28BestMovieof2013
65,63 Up-2019-11-27,#9BestMovieof2019
66,76 Days-2020-12-04,#28BestMovieof2020
67,8 Mile-2002-11-08,#44BestMovieof2002 
68,8 Mile-2002-11-08, #11MostDiscussedMovieof2002 
69,8 Mile-2002-11-08, #4MostSharedMovieof2002
70,88 Minutes-2008-04-18,#29MostSharedMovieof2008
71,9-2009-09-09,#40MostDiscussedMovieof2009 
72,9-2009-09-09, #1MostSharedMovieof2009
73,9 Songs-2005-07-22,#9MostSharedMovieof2005
74,99 Homes-2015-09-25,#100MostSharedMovieof2015
75,A Band Called Death-2013-06-28,#72BestMovieof2013
76,A Beautiful Day in the Neighborhood-2019-11-22,#76BestMovieof2019 
77,A Beautiful Day in the Neighborhood-2019-11-22, #73MostDiscussedMovieof2019
78,A Beautiful Mind-2001-12-21,#81BestMovieof2001 
79,A Beautiful Mind-2001-12-21, #15MostDiscussedMovieof2001 
80,A Beautiful Mind-2001-12-21, #16MostSharedMovieof2001
81,A Cinderella Story-2004-07-16,#69MostDiscussedMovieof2004 
82,A Cinderella Story-2004-07-16, #31MostSharedMovieof2004
83,A Cure for Wellness-2017-02-17,#67MostDiscussedMovieof2017 
84,A Cure for Wellness-2017-02-17, #72MostSharedMovieof2017
85,A Dangerous Method-2011-11-23,#65BestMovieof2011 
86,A Dangerous Method-2011-11-23, #89MostSharedMovieof2011
87,A Day Without a Mexican-2004-05-14,#48MostSharedMovieof2004
88,A Ghost Story-2017-07-07,#47BestMovieof2017 
89,A Ghost Story-2017-07-07, #66MostDiscussedMovieof2017 
90,A Ghost Story-2017-07-07, #61MostSharedMovieof2017
91,A Girl Walks Home Alone at Night-2014-11-21,#49BestMovieof2014 
92,A Girl Walks Home Alone at Night-2014-11-21, #91MostSharedMovieof2014
93,A Good Day to Die Hard-2013-02-14,#32MostDiscussedMovieof2013 
94,A Good Day to Die Hard-2013-02-14, #45MostSharedMovieof2013
95,A Haunted House-2013-01-11,#85MostDiscussedMovieof2013
96,A Hidden Life-2019-12-13,#99BestMovieof2019
97,A History of Violence-2005-09-23,#25BestMovieof2005 
98,A History of Violence-2005-09-23, #6MostDiscussedMovieof2005 
99,A History of Violence-2005-09-23, #41MostSharedMovieof2005
100,A Little Bit of Heaven-2012-05-04,#58MostSharedMovieof2012
101,A Lot Like Love-2005-04-22,#77MostSharedMovieof2005
102,A Mighty Heart-2007-06-22,#72BestMovieof2007
103,A Mighty Wind-2003-04-16,#26BestMovieof2003 
104,A Mighty Wind-2003-04-16, #56MostSharedMovieof2003
105,A Monster Calls-2016-12-23,#99BestMovieof2016 
106,A Monster Calls-2016-12-23, #93MostSharedMovieof2016
107,A Most Violent Year-2014-12-31,#62BestMovieof2014 
108,A Most Violent Year-2014-12-31, #80MostDiscussedMovieof2014 
109,A Most Violent Year-2014-12-31, #87MostSharedMovieof2014
110,A Most Wanted Man-2014-07-25,#95MostDiscussedMovieof2014
111,A Nightmare on Elm Street-2010-04-30,#32MostDiscussedMovieof2010
112,A Prairie Home Companion-2006-06-09,#62BestMovieof2006 
113,A Prairie Home Companion-2006-06-09, #82MostDiscussedMovieof2006
114,A Quiet Place-2018-04-06,#56BestMovieof2018 
115,A Quiet Place-2018-04-06, #9MostDiscussedMovieof2018 
116,A Quiet Place-2018-04-06, #3MostSharedMovieof2018
117,A Real Young Girl-2001-06-01,#4MostSharedMovieof2001
118,A River Below-2017-11-03,#67BestMovieof2017
119,A Scanner Darkly-2006-07-07,#78BestMovieof2006 
120,A Scanner Darkly-2006-07-07, #64MostDiscussedMovieof2006
121,A Serious Man-2009-10-02,#18BestMovieof2009 
122,A Serious Man-2009-10-02, #33MostDiscussedMovieof2009 
123,A Serious Man-2009-10-02, #68MostSharedMovieof2009
124,A Simple Favor-2018-09-14,#61MostDiscussedMovieof2018 
125,A Simple Favor-2018-09-14, #74MostSharedMovieof2018
126,A Single Man-2009-12-11,#55BestMovieof2009 
127,A Single Man-2009-12-11, #81MostDiscussedMovieof2009 
128,A Single Man-2009-12-11, #82MostSharedMovieof2009
129,A Talking Picture-2004-12-10,#61BestMovieof2004
130,A Teacher-2013-09-06,#95MostSharedMovieof2013
131,A Time for Drunken Horses-2000-10-27,#30BestMovieof2000
132,A Walk Among the Tombstones-2014-09-19,#89MostDiscussedMovieof2014
133,A Walk to Remember-2002-01-25,#28MostDiscussedMovieof2002 
134,A Walk to Remember-2002-01-25, #10MostSharedMovieof2002
