,title,release_date
0,Bakha Satang-2000-01-01,2000-01-01
1,Antitrust-2001-01-12,2001-01-12
2,Santitos-2000-01-28,2000-01-28
3,Frank McKlusky C.I.-2002-01-01,2002-01-01
4,A Walk to Remember-2002-01-25,2002-01-25
5,Zig Zag-2002-06-21,2002-06-21
6,TakhtÃƒÂ© siah-2002-05-10,2002-05-10
7,"Angry Monk: Reflections on Tibet, The-2009-01-02",2009-01-02
8,30 Years to Life-2002-06-07,2002-06-07
9,The Killing of John Lennon-2008-01-02,2008-01-02
10,Mad Money-2008-01-18,2008-01-18
11,Little Chenier-2008-01-18,2008-01-18
12,Over Her Dead Body-2008-02-01,2008-02-01
13,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias-2008-02-15,2008-02-15
14,120-2008-02-15,2008-02-15
15,The Other Boleyn Girl-2008-01-01,2008-01-01
16,A Lawyer Walks into a Bar-2008-01-01,2008-01-01
17,La Rondine-2008-03-08,2008-03-08
18,Jodaeiye Nader az Simin-2011-12-30,2011-12-30
19,Pariah-2011-12-28,2011-12-28
20,War Horse-2011-12-25,2011-12-25
21,Habemus Papam-2011-04-06,2011-04-06
22,Ivan Tsarevich i Seryy Volk-2011-12-29,2011-12-29
23,El Sicario Room 164-2011-12-28,2011-12-28
24,Extremely Loud and Incredibly Close-2011-12-25,2011-12-25
25,Angels Crest-2011-12-30,2011-12-30
26,Paranormal Xperience-2011-12-28,2011-12-28
27,The Darkest Hour-2011-12-25,2011-12-25
28,Miss Minoes-2011-12-23,2011-12-23
29,We Bought a Zoo-2011-11-26,2011-11-26
30,Minuscule - La vallÃƒÂ©e des fourmis perdues-2014-11-21,2014-11-21
31,Kiseki-2011-05-11,2011-05-11
32,In The Land of Blood and Honey-2011-12-23,2011-12-23
33,Prince of the Himalayas-2011-12-23,2011-12-23
34,Don 2-2011-12-22,2011-12-22
35,We Are the Giant-2014-12-12,2014-12-12
36,Wang Pai-2014-12-31,2014-12-31
37,The Young Kieslowski-2015-07-24,2015-07-24
38,Last Cab to Darwin-2015-06-10,2015-06-10
39,Cong cong na nian-2014-12-12,2014-12-12
40,Ghadi-2015-07-31,2015-07-31
41,Fair Play-2015-07-31,2015-07-31
42,Meru-2015-01-01,2015-01-01
43,Station to Station-2015-01-01,2015-01-01
44,Karachi se Lahore-2015-01-01,2015-01-01
45,Atrapa la bandera-2015-12-04,2015-12-04
46,Alma-2015-09-10,2015-09-10
47,"Boca Juniors 3D, la pelÃƒÂ­cula-2015-01-01",2015-01-01
48,Life of Josutty-2015-09-18,2015-09-18
49,Welcome to Leith-2015-09-09,2015-09-09
50,Eso que llaman amor-2015-09-25,2015-09-25
51,The Man Who Saved the World-2015-09-18,2015-09-18
52,Yuan Ling Ren Ou-2014-12-31,2014-12-31
53,Hip Hop-eration-2015-10-02,2015-10-02
