,movie_title,worldwide_box_office,international_box_office,domestic_box_office
0,Bakha Satang-2000-01-01,76576.0,76576.0,
1,Antitrust-2001-01-12,17865209.0,6900000.0,10965209.0
2,Santitos-2000-01-28,378562.0,,378562.0
3,Frank McKlusky C.I.-2002-01-01,,,
4,A Walk to Remember-2002-01-25,46060861.0,4833792.0,41227069.0
5,Zig Zag-2002-06-21,1649.0,,1649.0
6,TakhtÃƒÂ© siah-2002-05-10,21324.0,,21324.0
7,"Angry Monk: Reflections on Tibet, The-2009-01-02",2125.0,,2125.0
8,30 Years to Life-2002-06-07,99023.0,,99023.0
9,The Killing of John Lennon-2008-01-02,6975.0,,6975.0
10,Mad Money-2008-01-18,25044057.0,4375214.0,20668843.0
11,Little Chenier-2008-01-18,87939.0,,87939.0
12,Over Her Dead Body-2008-02-01,21596074.0,14025947.0,7570127.0
13,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias-2008-02-15,2607117.0,1800000.0,807117.0
14,120-2008-02-15,1334204.0,1334204.0,
15,The Other Boleyn Girl-2008-01-01,78269970.0,51455013.0,26814957.0
16,A Lawyer Walks into a Bar-2008-01-01,5202.0,,5202.0
17,La Rondine-2008-03-08,49088.0,,49088.0
18,Jodaeiye Nader az Simin-2011-12-30,24426169.0,17327677.0,7098492.0
19,Pariah-2011-12-28,769552.0,,769552.0
20,War Horse-2011-12-25,156815529.0,76932170.0,79883359.0
21,Habemus Papam-2011-04-06,10404075.0,9917173.0,486902.0
22,Ivan Tsarevich i Seryy Volk-2011-12-29,25047727.0,25047727.0,
23,El Sicario Room 164-2011-12-28,,,
24,Extremely Loud and Incredibly Close-2011-12-25,55247881.0,23400000.0,31847881.0
25,Angels Crest-2011-12-30,2037.0,1205.0,832.0
26,Paranormal Xperience-2011-12-28,2812739.0,2812739.0,
27,The Darkest Hour-2011-12-25,62831715.0,41388221.0,21443494.0
28,Miss Minoes-2011-12-23,10189.0,,10189.0
29,We Bought a Zoo-2011-11-26,118729073.0,43104523.0,75624550.0
30,Minuscule - La vallÃƒÂ©e des fourmis perdues-2014-11-21,1058457.0,1058457.0,
31,Kiseki-2011-05-11,912158.0,766350.0,145808.0
32,In The Land of Blood and Honey-2011-12-23,509193.0,205316.0,303877.0
33,Prince of the Himalayas-2011-12-23,9178.0,,9178.0
34,Don 2-2011-12-22,34053090.0,30378610.0,3674480.0
35,We Are the Giant-2014-12-12,1088.0,,1088.0
36,Wang Pai-2014-12-31,4590000.0,4590000.0,
37,The Young Kieslowski-2015-07-24,,,
38,Last Cab to Darwin-2015-06-10,5821137.0,5786944.0,34193.0
39,Cong cong na nian-2014-12-12,94036853.0,93470000.0,566853.0
40,Ghadi-2015-07-31,70149.0,70149.0,
41,Fair Play-2015-07-31,8747.0,8747.0,
42,Meru-2015-01-01,2350820.0,16592.0,2334228.0
43,Station to Station-2015-01-01,10530.0,1036.0,9494.0
44,Karachi se Lahore-2015-01-01,17721.0,17721.0,
45,Atrapa la bandera-2015-12-04,21131406.0,21131406.0,
46,Alma-2015-09-10,567607.0,567607.0,
47,"Boca Juniors 3D, la pelÃƒÂ­cula-2015-01-01",2171383.0,2171383.0,
48,Life of Josutty-2015-09-18,7870.0,7870.0,
49,Welcome to Leith-2015-09-09,36391.0,381.0,36010.0
50,Eso que llaman amor-2015-09-25,231.0,231.0,
51,The Man Who Saved the World-2015-09-18,2855.0,2855.0,
52,Yuan Ling Ren Ou-2014-12-31,3590000.0,3590000.0,
53,Hip Hop-eration-2015-10-02,6203.0,6203.0,
54,"Kleine Ziege, sturer Bock-2015-10-16",67838.0,67838.0,
55,Vesvese: Cin Tuzagi-2015-10-09,15193.0,15193.0,
56,Truth-2015-10-16,6842580.0,4300726.0,2541854.0
57,Geunomida-2015-10-30,697826.0,697826.0,
58,Wo shi zheng ren-2015-10-30,31834305.0,31424661.0,409644.0
59,Sarancha-2015-11-06,431000.0,431000.0,
60,HÃƒÂ¢monÃƒÂ®-2015-05-20,430568.0,407320.0,23248.0
61,Dobbiamo parlare-2015-11-20,583290.0,583290.0,
62,600 Millas-2015-12-03,284803.0,284803.0,
63,Hot Sugar's Cold World-2015-11-13,,,
64,Hell & Back-2015-10-02,157768.0,,157768.0
65,Rajini Murugan-2015-12-04,151741.0,151741.0,
66,Une Histoire de Fou-2015-11-13,314458.0,314458.0,
67,Point Break-2015-12-25,126704591.0,97922110.0,28782481.0
68,Desu nÃƒÂ´to: Light Up the New World-2016-10-28,18901839.0,18901839.0,
69,Disturbing the Peace-2016-11-11,25287.0,,25287.0
70,Star Wars Ep. VII: The Force Awakens-2015-12-18,2064615817.0,1127953592.0,936662225.0
71,Doctor Who: The Power of the Daleks-2016-11-11,116162.0,116162.0,
72,Le grand jeu-2015-12-18,226708.0,226708.0,
73,Bellas de Noche-2016-11-25,,,
74,The Revenant-2015-12-25,532938302.0,349300408.0,183637894.0
75,The Unmarried Wife-2016-11-25,66140.0,66140.0,
76,Sha Mo Zhi Xin-2016-12-02,49204.0,49204.0,
77,Poveri ma Ricchi-2016-12-16,7259767.0,7259767.0,
78,Nuo Lietuvos nepabÃ„â€”gsi-2016-11-18,2465.0,2465.0,
79,Somewhere Connected-2016-12-09,19291.0,19291.0,
80,Lo peor de los deseos-2018-11-29,,,
81,PÃƒÂ¨re fils thÃƒÂ©rapie!-2016-12-30,1453270.0,1453270.0,
82,Di Qiu Zui Hou De Ye Wang-2018-04-12,42140730.0,41619365.0,521365.0
83,Doktor Martin: ZÃƒÂ¡hada v Beskydech-2018-12-07,31651.0,31651.0,
84,Battle of Tortoise and Rabbit-2018-12-30,1494779.0,1494779.0,
85,Alibaba The Three Golden Hair-2018-12-30,1476950.0,1476950.0,
86,Duan Pian Er-2018-12-29,7423443.0,7423443.0,
87,Yun Nan Chong Gu Yunnan Valley-2018-01-04,22369964.0,22268448.0,101516.0
88,Two Small Pigs Brave The Mysterious Island-2018-12-30,744017.0,744017.0,
89,Trolled-2018-12-28,32834.0,32834.0,
90,Tiempo despuÃƒÂ©s-2018-12-28,1736358.0,1736358.0,
91,Stan & Ollie-2018-12-28,29062674.0,23592439.0,5470235.0
92,The Work Wife-2018-12-28,,,
93,Tarp mÃ…Â«sÃ…Â³ mergaiÃ„ï¿½iÃ…Â³-2018-12-28,666106.0,666106.0,
94,TrileÃƒÂ§e-2018-12-28,54.0,54.0,
95,Rio Mekong-2018-12-28,453.0,453.0,
96,Simmba-2018-12-28,7357518.0,2255389.0,5102129.0
97,Pech to nie grzech-2018-12-28,2042938.0,2042938.0,
98,MÃƒÂ¼saadenizle BÃƒÂ¼yÃƒÂ¼kler-2018-12-28,45185.0,45185.0,
99,The Most Beautiful Season-2018-12-28,218412.0,218412.0,
100,Shou Ji Kuang Xiang-2018-12-28,94951615.0,94951615.0,
101,One Shot-2018-12-28,1127.0,1127.0,
102,Konna Yofuke Ni Banana Kayo: Kanashiki Jitsuwa-2018-12-28,8652004.0,8652004.0,
103,Njan Prakashan-2018-12-28,57375.0,57375.0,
104,Minha Vida em Marte-2018-12-28,21105636.0,21105636.0,
105,K.G.F: Chapter 1-2018-12-28,27179.0,27179.0,
106,Der kleine Drache Kokosnuss - Auf in den Dschungel!-2018-12-28,1866262.0,1866262.0,
107,jeombaki hanbandoeui gongryong 2 saeroun nakwon-2018-12-28,3783492.0,3783492.0,
108,Chef-2018-12-28,94.0,94.0,
109,Benji-2018-12-28,585333.0,585333.0,
110,T-34-2018-12-27,39526616.0,39526616.0,
111,BÃƒÂ¶rÃƒÂ¼-2018-12-28,1441948.0,1441948.0,
112,Der Junge muss an die frische Luft-2018-12-27,31920181.0,31920181.0,
113,Yolki Posledniye-2018-12-27,11499494.0,11499494.0,
114,Cuando Brillan las Estrellas-2018-12-28,2506.0,2506.0,
115,Au bout des doigts-2018-12-27,3712903.0,3712903.0,
116,Un violent dÃƒÂ©sir de bonheur-2018-12-26,,,
117,La befana vien di notte-2018-12-27,9166973.0,9166973.0,
118,PMC: deo beong-keo-2018-01-04,12478635.0,12478635.0,
119,Moschettieri del Re - La penultima missione-2018-12-27,5728962.0,5728962.0,
120,Mult v. Kino Vypusk No. 87-2018-12-22,100689.0,100689.0,
121,L'homme fidÃƒÂ¨le-2018-07-19,1939709.0,1861933.0,77776.0
122,Perfectos desconocidos-2018-01-11,7895346.0,6880839.0,1014507.0
123,Zerk-2018-12-21,8785.0,8785.0,
124,Destroyer-2018-12-25,5865489.0,4332165.0,1533324.0
125,Zero-2018-12-21,1995127.0,1995127.0,
126,YanÃ„Â±mda Kal-2018-12-21,69938.0,69938.0,
127,Ye Wen hui chuan: Zhang Tianzhi-2018-04-12,19781947.0,19572493.0,209454.0
128,Mia et le lion blanc-2018-04-12,34299855.0,33899357.0,400498.0
129,Wu Lin Guai Shou-2018-12-21,11573104.0,11573104.0,
130,Kamen RaidÃƒÂ¢ Heisei JenerÃƒÂªshonzu FoebÃƒÂ¢-2018-12-22,12465928.0,12465928.0,
131,Welcome to Marwen-2018-12-21,13086137.0,2322617.0,10763520.0
132,Vergara-2018-12-21,3695.0,3695.0,
133,Vice-2018-12-25,70893782.0,23057500.0,47836282.0
134,Tian Qi Yu Bao-2018-12-21,18485628.0,18382575.0,103053.0
135,The Soul of Shui People in 1944-2018-12-21,599574.0,599574.0,
136,Snezhnaya koroleva. Zazerkale-2018-12-21,9456027.0,9456027.0,
137,Unknown Distance-2018-12-21,,,
138,Silukkuvarpatti Singam-2018-12-21,405.0,405.0,
139,The Revenge of Phantom Knight-2018-12-21,23369.0,23369.0,
140,Padi Padi Leche Manasu-2018-12-21,20916.0,20916.0,
141,SÃƒÂ¼kut Evi-2018-12-21,262.0,262.0,
142,Porno para principiantes-2018-12-21,9848.0,9848.0,
143,Patrolman Baoyin-2018-12-21,100000.0,100000.0,
144,The Last Resort-2018-12-21,158646.0,,158646.0
145,National Theatre Live: Antony & Cleopatra-2018-12-21,891885.0,891885.0,
146,Maari 2-2018-12-21,68392.0,68392.0,
147,Kanaa-2018-12-21,2999.0,2999.0,
148,Hugo Paco Luis y tres chicas de rosa-2018-12-21,100.0,100.0,
149,Kurtlar ve Ãƒâ€¡akallar-2018-12-21,11593.0,11593.0,
150,Fabeltjeskrant: De Grote Dierenbos-Spelen.-2018-12-21,728944.0,728944.0,
151,The Connection-2018-12-21,3739582.0,3739582.0,
152,Delaware Shore-2018-12-21,,,
153,Dantza-2018-12-21,262301.0,262301.0,
154,D.P.A. Detetives Do PrÃƒÂ©dio Azul 2 - O Filme-2018-12-21,4432618.0,4432618.0,
155,Between Worlds-2018-12-21,,,
156,Antariksham 9000 kmph-2018-12-21,39040.0,39040.0,
157,Blue Amber-2018-12-21,25049.0,25049.0,
158,AÃƒÂ¯lo: Une odyssÃƒÂ©e en Laponie-2018-12-21,1991200.0,1991200.0,
159,Adanga Maru-2018-12-21,30612.0,30612.0,
160,Tri bogatyrya i Naslednitsa prestola-2018-12-20,9343851.0,9343851.0,
161,Bolshoi Ballet: The Nutcracker-2018-12-21,354373.0,354373.0,
162,Holmes & Watson-2018-12-25,41926605.0,11357862.0,30568743.0
163,Zanjas-2017-12-29,570.0,570.0,
164,ItÃ¢â‚¬â„¢s March 3Rd Again-2018-12-20,1160000.0,1160000.0,
165,The Wedding Party 2: Destination Dubai-2017-02-14,73115.0,61975.0,11140.0
166,Sin Filtro-2017-12-29,174.0,174.0,
167,Yao Ling Ling-2017-01-05,57628372.0,57442237.0,186135.0
168,Politseyskiy s Rublyovki. Novogodniy bespredel-2018-12-20,27061365.0,27061365.0,
169,ParayÃ„Â± Bulduk-2017-12-29,16590.0,16590.0,
170,Napoli Velata-2017-12-29,7197082.0,7197082.0,
171,KlasÃ„â€”s susitikimas: berniukai sugrÃ„Â¯Ã…Â¾ta!-2017-12-29,1636978.0,1636978.0,
172,Kalavaadiya Pozhuthugal-2017-12-29,5317.0,5317.0,
173,Momo-2017-12-29,5181844.0,5181844.0,
174,Gulu Mermaid 2-2017-12-29,1653264.0,1653264.0,
175,Gandarrappido!: The Revenger Squad-2017-12-29,21271.0,21271.0,
176,"Fala SÃƒÂ©rio, MÃƒÂ£e!-2017-12-29",11616161.0,11616161.0,
