,title,awards
0,10 Cloverfield Lane-2016-03-11,#18MostDiscussedMovieof2016 
1,"10,000 BC-2008-03-07",#23MostDiscussedMovieof2008 
2,102 Dalmatians-2000-11-22,#73MostDiscussedMovieof2000
3,12-2009-03-04,#97BestMovieof2009 
4,12 Rounds-2009-03-27,#71MostSharedMovieof2009
5,12 Strong-2018-01-19,#77MostDiscussedMovieof2018 
6,12 Years a Slave-2013-10-18,#1BestMovieof2013 
7,12:08 East of Bucharest-2007-06-06,#51BestMovieof2007
8,127 Hours-2010-11-05,#23BestMovieof2010 
9,13-2011-10-28,#61MostSharedMovieof2011
10,13 Assassins-2011-04-29,#23BestMovieof2011 
11,13 Going on 30-2004-04-23,#72MostDiscussedMovieof2004 
12,13 Hours: The Secret Soldiers of Benghazi-2016-01-15,#51MostDiscussedMovieof2016 
13,13th-2016-10-07,#37BestMovieof2016
14,1408-2007-06-22,#46MostDiscussedMovieof2007 
15,16 Blocks-2006-03-03,#84MostDiscussedMovieof2006
16,17 Again-2009-04-17,#87MostDiscussedMovieof2009 
17,17 Blocks-2019-11-01,#61BestMovieof2019
18,17 Girls-2012-09-21,#38MostSharedMovieof2012
19,1917-2019-12-25,#18MostDiscussedMovieof2019
20,2 Fast 2 Furious-2003-06-06,#14MostDiscussedMovieof2003 
21,2 Guns-2013-08-02,#87MostDiscussedMovieof2013 
22,2 or 3 Things I Know About Him-2007-01-24,#78BestMovieof2007
23,20 Feet from Stardom-2013-06-14,#25BestMovieof2013
24,"20,000 Days on Earth-2014-09-17",#37BestMovieof2014
25,2012-2009-11-13,#13MostDiscussedMovieof2009 
26,2046-2005-08-05,#53BestMovieof2005
27,20th Century Women-2016-12-28,#35BestMovieof2016
28,21-2008-03-28,#66MostDiscussedMovieof2008 
29,21 Grams-2003-11-21,#98BestMovieof2003 
30,21 Jump Street-2012-03-16,#22MostDiscussedMovieof2012 
31,22 Jump Street-2014-06-13,#38MostDiscussedMovieof2014 
32,24 City-2009-06-05,#70BestMovieof2009
33,24 Hour Party People-2002-08-09,#13BestMovieof2002 
34,25th Hour-2002-12-19,#53MostDiscussedMovieof2002 
35,27 Dresses-2008-01-18,#94MostDiscussedMovieof2008 
36,28 Days Later...-2003-06-27,#64BestMovieof2003 
37,28 Weeks Later-2007-05-11,#41BestMovieof2007 
38,3-D Sex and Zen: Extreme Ecstasy-2011-08-12,#9MostSharedMovieof2011
39,3 Faces-2019-03-08,#94BestMovieof2019
40,3-Iron-2005-04-29,#90BestMovieof2005
41,30 Days of Night-2007-10-19,#49MostDiscussedMovieof2007 
42,30 Minutes or Less-2011-08-12,#79MostDiscussedMovieof2011
43,300-2007-03-09,#5MostDiscussedMovieof2007 
44,300: Rise of an Empire-2014-03-07,#35MostDiscussedMovieof2014 
45,3000 Miles to Graceland-2001-02-23,#93MostDiscussedMovieof2001
46,3:10 to Yuma-2007-09-07,#56BestMovieof2007 
47,35 Shots of Rum-2009-09-16,#3BestMovieof2009 
48,4-2006-04-07,#96BestMovieof2006
49,"4 Months, 3 Weeks and 2 Days-2008-01-23",#1BestMovieof2008 
50,42-2013-04-12,#79MostDiscussedMovieof2013 
51,4:44 Last Day on Earth-2012-03-23,#98MostSharedMovieof2012
52,45 Years-2015-12-23,#2BestMovieof2015 
53,45365-2010-06-18,#9BestMovieof2010
54,47 Meters Down-2017-06-16,#89MostDiscussedMovieof2017
55,47 Ronin-2013-12-25,#43MostDiscussedMovieof2013 
56,49 Up-2006-10-06,#20BestMovieof2006
57,5 Broken Cameras-2012-05-25,#54BestMovieof2012
58,50 First Dates-2004-02-13,#48MostDiscussedMovieof2004 
59,(500) Days of Summer-2009-07-17,#67BestMovieof2009 
60,50/50-2011-09-30,#47MostDiscussedMovieof2011 
61,51 Birch Street-2006-10-18,#46BestMovieof2006
62,56 Up-2013-01-04,#28BestMovieof2013
63,6 Underground-2019-12-11,#41MostDiscussedMovieof2019
64,63 Up-2019-11-27,#9BestMovieof2019
65,7 Days in September-2002-09-06,#64BestMovieof2002
66,7 Prisoners-2021-11-05,#87BestMovieof2021
67,'71-2015-02-27,#35BestMovieof2015
68,76 Days-2020-12-04,#28BestMovieof2020
69,8 Mile-2002-11-08,#44BestMovieof2002 
70,8 Â½ Women-2000-05-26,#100MostSharedMovieof2000
71,88 Minutes-2008-04-18,#29MostSharedMovieof2008
72,9-2009-09-09,#40MostDiscussedMovieof2009 
73,9 Songs-2005-07-22,#9MostSharedMovieof2005
74,99 Homes-2015-09-25,#100MostSharedMovieof2015
75,A Band Called Death-2013-06-28,#72BestMovieof2013
76,A Beautiful Day in the Neighborhood-2019-11-22,#76BestMovieof2019 
77,A Beautiful Mind-2001-12-21,#81BestMovieof2001 
78,A Bread Factory Part One: For the Sake of Gold-2018-10-26,#8BestMovieof2018
79,A Bread Factory Part Two: Walk With Me a While-2018-10-26,#7BestMovieof2018
80,A Christmas Carol-2009-11-06,#82MostDiscussedMovieof2009 
81,A Christmas Tale-2008-11-14,#10BestMovieof2008
82,A Cinderella Story-2004-07-16,#69MostDiscussedMovieof2004 
83,A Cure for Wellness-2017-02-17,#67MostDiscussedMovieof2017 
84,A Dangerous Method-2011-11-23,#65BestMovieof2011 
85,A Day Without a Mexican-2004-05-14,#48MostSharedMovieof2004
86,A Dirty Shame-2004-09-24,#72MostSharedMovieof2004
87,A Dog's Purpose-2017-01-27,#82MostSharedMovieof2017
88,A Fantastic Woman-2017-11-17,#25BestMovieof2017 
89,A Film Unfinished-2010-08-18,#6BestMovieof2010
90,A Ghost Story-2017-07-07,#47BestMovieof2017 
91,A Girl Walks Home Alone at Night-2014-11-21,#49BestMovieof2014 
92,A Good Day to Die Hard-2013-02-14,#32MostDiscussedMovieof2013 
93,A Good Woman-2006-02-06,#53MostSharedMovieof2006
94,A Haunted House-2013-01-11,#85MostDiscussedMovieof2013
95,A Hidden Life-2019-12-13,#99BestMovieof2019
96,A Hijacking-2013-06-21,#34BestMovieof2013
97,A History of Violence-2005-09-23,#25BestMovieof2005 
98,A Knight's Tale-2001-05-11,#41MostDiscussedMovieof2001 
99,A Little Bit of Heaven-2012-05-04,#58MostSharedMovieof2012
100,A Lot Like Love-2005-04-22,#77MostSharedMovieof2005
101,A Matter of Taste-2001-09-07,#69BestMovieof2001
102,A Mighty Heart-2007-06-22,#72BestMovieof2007
103,A Mighty Wind-2003-04-16,#26BestMovieof2003 
104,A Million Ways to Die in the West-2014-05-30,#44MostDiscussedMovieof2014
105,A Monster Calls-2016-12-23,#99BestMovieof2016 
106,A Most Violent Year-2014-12-31,#62BestMovieof2014 
107,A Most Wanted Man-2014-07-25,#95MostDiscussedMovieof2014
108,A Nightmare on Elm Street-2010-04-30,#32MostDiscussedMovieof2010
109,A Perfect Getaway-2009-08-07,#98MostDiscussedMovieof2009
110,A Pigeon Sat on a Branch Reflecting on Existence-2015-06-03,#56BestMovieof2015
111,A Prairie Home Companion-2006-06-09,#62BestMovieof2006 
112,A Prophet-2010-02-26,#5BestMovieof2010 
113,A Quiet Place-2018-04-06,#56BestMovieof2018 
114,A Quiet Place Part II-2021-05-28,#31MostDiscussedMovieof2021 
115,A Real Young Girl-2001-06-01,#4MostSharedMovieof2001
116,A River Below-2017-11-03,#67BestMovieof2017
117,A River Changes Course-2013-10-04,#69BestMovieof2013
118,A Royal Affair-2012-11-09,#97BestMovieof2012
119,A Scanner Darkly-2006-07-07,#78BestMovieof2006 
