,title,release_date,worldwide_box_office,international_box_office,domestic_box_office
0,Bakha Satang-2000-01-01,2000-01-01,"76576,00","76576,00",
1,Antitrust-2001-01-12,2001-01-12,"17865209,00","6900000,00","10965209,00"
2,Santitos-2000-01-28,2000-01-28,,,"378562,00"
3,Frank McKlusky C.I.-2002-01.01,2002-01.01,,,
4,A Walk to Remember-2002-01-25,2002-01-25,"46060861,00","4833792,00","41227069,00"
5,Zig Zag-2002-06-21,2002-06-21,,,"1649,00"
6,TakhtÃƒÂ© siah-2002-05-10,2002-05-10,,,"21324,00"
7,"Angry Monk: Reflections on Tibet, The-2009-01-02",2009-01-02,,,"2125,00"
8,30 Years to Life-2002-06-07,2002-06-07,,,"99023,00"
9,The Killing of John Lennon-2008-01-02,2008-01-02,,,"6975,00"
10,Mad Money-2008-01-18,2008-01-18,"25044057,00","4375214,00","20668843,00"
11,Little Chenier-2008-01-18,2008-01-18,,,"87939,00"
12,Over Her Dead Body-2008-02-01,2008-02-01,"21596074,00","14025947,00","7570127,00"
13,O Ano em Que Meus Pais SaÃƒÂ­ram de FÃƒÂ©rias-2008-02-15,2008-02-15,"2607117,00","1800000,00","807117,00"
14,120-2008-02-15,2008-02-15,"1334204,00","1334204,00",
15,The Other Boleyn Girl-2008-01.01,2008-01.01,"78269970,00","51455013,00","26814957,00"
16,A Lawyer Walks into a Bar-2008-01.01,2008-01.01,,,"5202,00"
17,La Rondine-2008-03-08,2008-03-08,,,"49088,00"
18,Jodaeiye Nader az Simin-2011-12-30,2011-12-30,"24426169,00","17327677,00","7098492,00"
19,Pariah-2011-12-28,2011-12-28,,,"769552,00"
20,War Horse-2011-12-25,2011-12-25,"156815529,00","76932170,00","79883359,00"
21,Habemus Papam-2011-04-06,2011-04-06,"10404075,00","9917173,00","486902,00"
22,Ivan Tsarevich i Seryy Volk-2011-12-29,2011-12-29,"25047727,00","25047727,00",
23,El Sicario Room 164-2011-12-28,2011-12-28,,,
24,Extremely Loud and Incredibly Close-2011-12-25,2011-12-25,"55247881,00","23400000,00","31847881,00"
25,Angels Crest-2011-12-30,2011-12-30,"2037,00","1205,00","832,00"
26,Paranormal Xperience-2011-12-28,2011-12-28,"2812739,00","2812739,00",
27,The Darkest Hour-2011-12-25,2011-12-25,"62831715,00","41388221,00","21443494,00"
28,Miss Minoes-2011-12-23,2011-12-23,,,"10189,00"
29,We Bought a Zoo-2011-11-26,2011-11-26,"118729073,00","43104523,00","75624550,00"
30,Minuscule - La vallÃƒÂ©e des fourmis perdues-2014-11-21,2014-11-21,"1058457,00","1058457,00",
31,Kiseki-2011-05-11,2011-05-11,"912158,00","766350,00","145808,00"
32,In The Land of Blood and Honey-2011-12-23,2011-12-23,"509193,00","205316,00","303877,00"
33,Prince of the Himalayas-2011-12-23,2011-12-23,,,"9178,00"
34,Don 2-2011-12-22,2011-12-22,"34053090,00","30378610,00","3674480,00"
35,We Are the Giant-2014-12-12,2014-12-12,,,"1088,00"
36,Wang Pai-2014-12-31,2014-12-31,"4590000,00","4590000,00",
37,The Young Kieslowski-2015-07-24,2015-07-24,,,
38,Last Cab to Darwin-2015-06-10,2015-06-10,"5821137,00","5786944,00","34193,00"
39,Cong cong na nian-2014-12-12,2014-12-12,"94036853,00","93470000,00","566853,00"
40,Ghadi-2015-07-31,2015-07-31,"70149,00","70149,00",
41,Fair Play-2015-07-31,2015-07-31,"8747,00","8747,00",
42,Meru-2015-01.01,2015-01.01,"2350820,00","16592,00","2334228,00"
43,Station to Station-2015-01.01,2015-01.01,"10530,00","1036,00","9494,00"
44,Karachi se Lahore-2015-01.01,2015-01.01,"17721,00","17721,00",
45,Atrapa la bandera-2015-12-04,2015-12-04,"21131406,00","21131406,00",
46,Alma-2015-09-10,2015-09-10,"567607,00","567607,00",
47,"Boca Juniors 3D, la pelÃƒÂ­cula-2015-01.01",2015-01.01,"2171383,00","2171383,00",
48,Life of Josutty-2015-09-18,2015-09-18,"7870,00","7870,00",
49,Welcome to Leith-2015-09-09,2015-09-09,"36391,00","381,00","36010,00"
50,Eso que llaman amor-2015-09-25,2015-09-25,"231,00","231,00",
51,The Man Who Saved the World-2015-09-18,2015-09-18,"2855,00","2855,00",
52,Yuan Ling Ren Ou-2014-12-31,2014-12-31,"3590000,00","3590000,00",
53,Hip Hop-eration-2015-10-02,2015-10-02,"6203,00","6203,00",
54,"Kleine Ziege, sturer Bock-2015-10-16",2015-10-16,"67838,00","67838,00",
55,Vesvese: Cin Tuzagi-2015-10-09,2015-10-09,"15193,00","15193,00",
56,Truth-2015-10-16,2015-10-16,"6842580,00","4300726,00","2541854,00"
57,Geunomida-2015-10-30,2015-10-30,"697826,00","697826,00",
58,Wo shi zheng ren-2015-10-30,2015-10-30,"31834305,00","31424661,00","409644,00"
